36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
06:23:06.0 (336424)|USER_INFO|[EXTERNAL]|0057F000000Tiz6|ksb994@salesforce.com|Pacific Standard Time|GMT-08:00
06:23:06.0 (369220)|EXECUTION_STARTED
06:23:06.0 (372946)|CODE_UNIT_STARTED|[EXTERNAL]|0667F000004uRC1|VF: /apex/PM_Project_Edit
06:23:06.0 (14599741)|SYSTEM_MODE_ENTER|true
06:23:06.0 (14955080)|HEAP_ALLOCATE|[72]|Bytes:3
06:23:06.0 (14992681)|HEAP_ALLOCATE|[77]|Bytes:152
06:23:06.0 (15006448)|HEAP_ALLOCATE|[342]|Bytes:408
06:23:06.0 (15021699)|HEAP_ALLOCATE|[355]|Bytes:408
06:23:06.0 (15035134)|HEAP_ALLOCATE|[467]|Bytes:48
06:23:06.0 (15060250)|HEAP_ALLOCATE|[139]|Bytes:6
06:23:06.0 (15073729)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:140
06:23:06.0 (15079244)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
06:23:06.0 (15082095)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
06:23:06.0 (15090742)|METHOD_ENTRY|[1]|01p7F00000Ehro9|PM_Project_Edit_Controller.PM_Project_Edit_Controller()
06:23:06.0 (15096072)|STATEMENT_EXECUTE|[1]
06:23:06.0 (15100172)|STATEMENT_EXECUTE|[1]
06:23:06.0 (15127141)|HEAP_ALLOCATE|[50]|Bytes:5
06:23:06.0 (15146762)|HEAP_ALLOCATE|[56]|Bytes:5
06:23:06.0 (15153253)|HEAP_ALLOCATE|[64]|Bytes:7
06:23:06.0 (15176279)|SYSTEM_MODE_ENTER|false
06:23:06.0 (15189270)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
06:23:06.0 (15196985)|SYSTEM_MODE_EXIT|false
06:23:06.0 (15204427)|METHOD_EXIT|[1]|PM_Project_Edit_Controller
06:23:06.0 (15247948)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
06:23:06.0 (15262925)|VARIABLE_SCOPE_BEGIN|[10]|this|PM_Project_Edit_Controller|true|false
06:23:06.0 (15321572)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x34c7859e
06:23:06.0 (15329546)|VARIABLE_SCOPE_BEGIN|[10]|stdController|ApexPages.StandardController|true|false
