36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
05:03:26.0 (302684)|USER_INFO|[EXTERNAL]|0057F000000Tiz6|ksb994@salesforce.com|Pacific Standard Time|GMT-08:00
05:03:26.0 (334858)|EXECUTION_STARTED
05:03:26.0 (337857)|CODE_UNIT_STARTED|[EXTERNAL]|0667F000004uJm5|VF: /apex/PM_Project_New
05:03:26.14 (14891480)|SYSTEM_MODE_ENTER|true
05:03:26.14 (15013227)|HEAP_ALLOCATE|[72]|Bytes:3
05:03:26.14 (15050917)|HEAP_ALLOCATE|[77]|Bytes:152
05:03:26.14 (15065486)|HEAP_ALLOCATE|[342]|Bytes:408
05:03:26.14 (15079700)|HEAP_ALLOCATE|[355]|Bytes:408
05:03:26.14 (15091661)|HEAP_ALLOCATE|[467]|Bytes:48
05:03:26.15 (15345169)|SYSTEM_MODE_ENTER|true
05:03:26.15 (15394684)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:03:26.15 (15402244)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
05:03:26.15 (15436696)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x53d027fd
05:03:26.15 (15449470)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
05:03:26.15 (15456813)|VARIABLE_ASSIGNMENT|[88]|escape|null
05:03:26.15 (15606726)|SYSTEM_MODE_ENTER|true
05:03:26.15 (15634434)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
05:03:26.15 (15640545)|VARIABLE_SCOPE_BEGIN|[2]|this|ApexPage.PageMessagesComponentController|true|false
05:03:26.15 (15656923)|VARIABLE_ASSIGNMENT|[2]|this|{}|0x53d027fd
05:03:26.0 (44051642)|SYSTEM_MODE_ENTER|true
05:03:26.0 (44297068)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:92
05:03:26.0 (44307672)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
05:03:26.0 (44328646)|METHOD_ENTRY|[1]|01p7F00000EhPEd|Project_PM_Controller.Project_PM_Controller()
05:03:26.0 (44334134)|STATEMENT_EXECUTE|[1]
05:03:26.0 (44338470)|STATEMENT_EXECUTE|[1]
05:03:26.0 (44351037)|SYSTEM_MODE_ENTER|false
05:03:26.0 (44359373)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
05:03:26.0 (44365878)|SYSTEM_MODE_EXIT|false
05:03:26.0 (44373448)|METHOD_EXIT|[1]|Project_PM_Controller
05:03:26.0 (44414912)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
05:03:26.0 (44463496)|VARIABLE_SCOPE_BEGIN|[10]|this|Project_PM_Controller|true|false
05:03:26.0 (44515918)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x76fc91b2
05:03:26.0 (44522865)|VARIABLE_SCOPE_BEGIN|[10]|stdController|ApexPages.StandardController|true|false
05:03:26.0 (44676012)|VARIABLE_ASSIGNMENT|[10]|stdController|"StandardController [null]"|0x1e1ba2bc
05:03:26.0 (44697136)|SYSTEM_MODE_ENTER|false
05:03:26.0 (44702928)|HEAP_ALLOCATE|[6]|Bytes:5
05:03:26.0 (44707366)|STATEMENT_EXECUTE|[1]
05:03:26.0 (44711512)|HEAP_ALLOCATE|[6]|Bytes:5
05:03:26.0 (44714351)|STATEMENT_EXECUTE|[2]
05:03:26.0 (44715390)|STATEMENT_EXECUTE|[3]
05:03:26.0 (44716381)|STATEMENT_EXECUTE|[5]
05:03:26.0 (44717260)|STATEMENT_EXECUTE|[6]
05:03:26.0 (44731595)|HEAP_ALLOCATE|[6]|Bytes:4
05:03:26.0 (44790491)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:03:26.0 (44804620)|VARIABLE_ASSIGNMENT|[6]|this.usersList|[]|0x76fc91b2
05:03:26.0 (44810400)|STATEMENT_EXECUTE|[8]
05:03:26.0 (44813971)|HEAP_ALLOCATE|[8]|Bytes:4
05:03:26.0 (44821032)|VARIABLE_ASSIGNMENT|[8]|this.saveAndNew|1|0x76fc91b2
05:03:26.0 (44855649)|STATEMENT_EXECUTE|[10]
05:03:26.0 (44857860)|STATEMENT_EXECUTE|[11]
05:03:26.0 (44961948)|VARIABLE_ASSIGNMENT|[11]|this.controller|"StandardController [null]"|0x76fc91b2
05:03:26.0 (44969748)|STATEMENT_EXECUTE|[12]
05:03:26.0 (45074681)|HEAP_ALLOCATE|[12]|Bytes:4
05:03:26.0 (45101083)|VARIABLE_ASSIGNMENT|[12]|this.project|{}|0x76fc91b2
05:03:26.0 (45106597)|STATEMENT_EXECUTE|[13]
05:03:26.0 (45115421)|HEAP_ALLOCATE|[13]|Bytes:4
05:03:26.0 (45271839)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"controller":"StandardController [[Project__c (]]","project":"0x5c9abfa3","saveAndNew":1,"usersList":"0x340cee71"}|0x76fc91b2
05:03:26.0 (45304365)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:03:26.0 (45313509)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|[]|0x77c1a40e
05:03:26.0 (45325396)|VARIABLE_ASSIGNMENT|[5]|this.selectedUsers|[]|0x76fc91b2
05:03:26.0 (45337985)|SYSTEM_MODE_EXIT|false
05:03:26.0 (53139890)|SYSTEM_MODE_ENTER|true
05:03:26.0 (53170428)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:164
05:03:26.0 (53177733)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
05:03:26.0 (53185922)|METHOD_ENTRY|[5]|01p7F00000Ehg8E|MultiselectController.MultiselectController()
05:03:26.0 (53190464)|STATEMENT_EXECUTE|[5]
05:03:26.0 (53193745)|STATEMENT_EXECUTE|[5]
05:03:26.0 (53201529)|SYSTEM_MODE_ENTER|false
05:03:26.0 (53207542)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
05:03:26.0 (53213054)|SYSTEM_MODE_EXIT|false
05:03:26.0 (53219503)|METHOD_EXIT|[5]|MultiselectController
05:03:26.0 (53225546)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
05:03:26.0 (53229498)|VARIABLE_SCOPE_BEGIN|[5]|this|MultiselectController|true|false
05:03:26.0 (53251828)|VARIABLE_ASSIGNMENT|[5]|this|{}|0xe9f7629
05:03:26.0 (53264366)|SYSTEM_MODE_ENTER|false
05:03:26.0 (53268328)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
05:03:26.0 (53285168)|SYSTEM_MODE_EXIT|false
05:03:26.0 (53288999)|STATEMENT_EXECUTE|[5]
05:03:26.0 (53293264)|SYSTEM_MODE_ENTER|false
05:03:26.0 (53296719)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
05:03:26.0 (53299407)|STATEMENT_EXECUTE|[7]
05:03:26.0 (53300372)|STATEMENT_EXECUTE|[8]
05:03:26.0 (53301333)|STATEMENT_EXECUTE|[23]
05:03:26.0 (53302253)|STATEMENT_EXECUTE|[31]
05:03:26.0 (53303765)|SYSTEM_MODE_EXIT|false
05:03:26.0 (53421428)|SYSTEM_MODE_ENTER|true
05:03:26.0 (53469069)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
05:03:26.0 (53554670)|VARIABLE_SCOPE_BEGIN|[16]|this|Project_PM_Controller|true|false
05:03:26.0 (53722726)|VARIABLE_ASSIGNMENT|[16]|this|{"controller":"StandardController [[Project__c (]]","project":"0x5c9abfa3","saveAndNew":1,"selectedUsers":"0x77c1a40e","usersList":"0x340cee71"}|0x76fc91b2
05:03:26.0 (53745196)|SYSTEM_MODE_ENTER|false
05:03:26.0 (53751850)|HEAP_ALLOCATE|[17]|Bytes:5
05:03:26.0 (53756423)|STATEMENT_EXECUTE|[16]
05:03:26.0 (53757651)|STATEMENT_EXECUTE|[17]
05:03:26.0 (53760493)|HEAP_ALLOCATE|[17]|Bytes:62
05:03:26.0 (53776090)|HEAP_ALLOCATE|[17]|Bytes:4
05:03:26.0 (53955481)|SOQL_EXECUTE_BEGIN|[17]|Aggregations:0|SELECT Id, Name FROM User WHERE UserRoleId = '00E7F000000Mdri'
05:03:26.0 (58908320)|SOQL_EXECUTE_END|[17]|Rows:6
05:03:26.0 (58933948)|HEAP_ALLOCATE|[17]|Bytes:28
05:03:26.0 (58961629)|HEAP_ALLOCATE|[17]|Bytes:271
05:03:26.0 (59031535)|HEAP_ALLOCATE|[17]|Bytes:28
05:03:26.0 (59050276)|VARIABLE_SCOPE_BEGIN|[17]|users|List<User>|true|false
05:03:26.0 (59074902)|VARIABLE_ASSIGNMENT|[17]|users|"List of size 6 too large to display"|0x584c809c
05:03:26.0 (59266826)|HEAP_ALLOCATE|[18]|Bytes:5
05:03:26.0 (59288300)|HEAP_ALLOCATE|[18]|Bytes:12
05:03:26.0 (59300360)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
05:03:26.0 (59321877)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000TpdFQAS","Name":"Mani Sasank"}|0x4a85162f
05:03:26.0 (59331192)|STATEMENT_EXECUTE|[18]
05:03:26.0 (59333100)|STATEMENT_EXECUTE|[19]
05:03:26.0 (59377104)|HEAP_ALLOCATE|[19]|Bytes:18
05:03:26.0 (59461145)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:03:26.0 (59485890)|HEAP_ALLOCATE|[18]|Bytes:5
05:03:26.0 (59499719)|HEAP_ALLOCATE|[18]|Bytes:12
05:03:26.0 (59508492)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
05:03:26.0 (59528585)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000TrBBQA0","Name":"Santhosh"}|0x1ffa7a89
05:03:26.0 (59536755)|STATEMENT_EXECUTE|[18]
05:03:26.0 (59538518)|STATEMENT_EXECUTE|[19]
05:03:26.0 (59551656)|HEAP_ALLOCATE|[19]|Bytes:18
05:03:26.0 (59570718)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:03:26.0 (59586259)|HEAP_ALLOCATE|[18]|Bytes:5
05:03:26.0 (59598680)|HEAP_ALLOCATE|[18]|Bytes:12
05:03:26.0 (59606534)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
05:03:26.0 (59624043)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000TrBGQA0","Name":"Ravi teja"}|0x3d6d7ca5
05:03:26.0 (59632099)|STATEMENT_EXECUTE|[18]
05:03:26.0 (59633574)|STATEMENT_EXECUTE|[19]
05:03:26.0 (59643768)|HEAP_ALLOCATE|[19]|Bytes:18
05:03:26.0 (59659558)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:03:26.0 (59673834)|HEAP_ALLOCATE|[18]|Bytes:5
05:03:26.0 (59682544)|HEAP_ALLOCATE|[18]|Bytes:12
05:03:26.0 (59687157)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
05:03:26.0 (59697968)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000TrBVQA0","Name":"Yashwanth"}|0x18792301
05:03:26.0 (59703188)|STATEMENT_EXECUTE|[18]
05:03:26.0 (59704196)|STATEMENT_EXECUTE|[19]
05:03:26.0 (59710570)|HEAP_ALLOCATE|[19]|Bytes:18
05:03:26.0 (59719763)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:03:26.0 (59728630)|HEAP_ALLOCATE|[18]|Bytes:5
05:03:26.0 (59734982)|HEAP_ALLOCATE|[18]|Bytes:12
05:03:26.0 (59738888)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
05:03:26.0 (59749121)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000Tz0iQAC","Name":"Richa"}|0x7aaf6a4f
05:03:26.0 (59756913)|STATEMENT_EXECUTE|[18]
05:03:26.0 (59758256)|STATEMENT_EXECUTE|[19]
05:03:26.0 (59766649)|HEAP_ALLOCATE|[19]|Bytes:18
05:03:26.0 (59781544)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:03:26.0 (59795298)|HEAP_ALLOCATE|[18]|Bytes:5
05:03:26.0 (59806267)|HEAP_ALLOCATE|[18]|Bytes:12
05:03:26.0 (59813007)|VARIABLE_SCOPE_BEGIN|[18]|usr|User|true|false
05:03:26.0 (59828529)|VARIABLE_ASSIGNMENT|[18]|usr|{"Id":"0057F000000Tz0sQAC","Name":"Veeresh"}|0x36cd79a1
05:03:26.0 (59836178)|STATEMENT_EXECUTE|[18]
05:03:26.0 (59837631)|STATEMENT_EXECUTE|[19]
05:03:26.0 (59847401)|HEAP_ALLOCATE|[19]|Bytes:18
05:03:26.0 (59862527)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
05:03:26.0 (59876038)|HEAP_ALLOCATE|[18]|Bytes:5
05:03:26.0 (59889401)|VARIABLE_ASSIGNMENT|[18]|usr|null|
